home_team,away_team,home_score,away_score,tournament,city,country,neutral
Khor Fakkan,Bataeh,0,3,UAE Pro League,Khor Fakkan,United Arab Emirates,FALSE
Baniyas,Bataeh,3,3,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Kalba,Khor Fakkan,1,1,UAE Pro League,Kalba,United Arab Emirates,FALSE
Kalba,Dibba,3,0,UAE President's Cup,Kalba,United Arab Emirates,FALSE
Hatta,Kalba,1,3,UAE Pro League,Hatta,United Arab Emirates,FALSE
Kalba,Emirates,1,2,UAE Pro League,Kalba,United Arab Emirates,FALSE
Emirates,Baniyas,1,2,UAE Pro League,Ras al-Khaimah,United Arab Emirates,FALSE
Khor Fakkan,Baniyas,2,1,UAE Pro League,Khor Fakkan,United Arab Emirates,FALSE
Baniyas,Hatta,4,2,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Hatta,Khor Fakkan,0,2,UAE Pro League,Hatta,United Arab Emirates,FALSE
Emirates,Khor Fakkan,2,1,UAE Pro League,Ras al-Khaimah,United Arab Emirates,FALSE
Hatta,Emirates,1,1,UAE Pro League,Hatta,United Arab Emirates,FALSE
